epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,914.348,3.41232,9.41822,3.1296,0.60631,0.19321,0.17818,0.09618,2.01383,5.3574,1.95706,0.0700068,0.00333257,0.00333257
2,1646.16,1.91825,4.01116,1.75207,0.45373,0.27991,0.26238,0.16422,1.47695,3.86202,1.55578,0.0400068,0.00666589,0.00666589
3,2371.75,1.63525,3.23932,1.53953,0.41628,0.38083,0.31906,0.21052,1.33119,4.16098,1.43279,0.0100067,0.00999914,0.00999914
4,3104.34,1.49601,2.87506,1.44608,0.55224,0.41452,0.38911,0.2675,1.20126,2.88014,1.34686,0.00999978,0.00999978,0.00999978
5,3822.62,1.39942,2.63234,1.37899,0.46703,0.46399,0.41395,0.2845,1.15198,2.59589,1.30668,0.00999961,0.00999961,0.00999961
6,4554.14,1.34032,2.468,1.34388,0.51215,0.47623,0.44621,0.31161,1.1228,2.70297,1.27701,0.00999939,0.00999939,0.00999939
7,5274.53,1.31239,2.39359,1.32344,0.53852,0.53939,0.47415,0.32607,1.08077,3.24488,1.25174,0.00999912,0.00999912,0.00999912
8,5989.34,1.28069,2.31829,1.29982,0.49796,0.53397,0.48038,0.33882,1.04475,2.42727,1.22045,0.0099988,0.0099988,0.0099988
9,6726.04,1.25963,2.25216,1.28827,0.54711,0.52954,0.51111,0.35818,1.03735,2.26533,1.21521,0.00999844,0.00999844,0.00999844
10,7448.34,1.24686,2.23114,1.27749,0.52771,0.55159,0.52379,0.36751,1.01929,2.36845,1.20189,0.00999802,0.00999802,0.00999802
11,8158.81,1.23018,2.1797,1.26747,0.52228,0.58493,0.54903,0.38268,0.99278,2.30375,1.18289,0.00999756,0.00999756,0.00999756
12,8884.23,1.21676,2.14981,1.26049,0.53057,0.58283,0.56055,0.39223,0.97804,2.16195,1.1723,0.00999704,0.00999704,0.00999704
13,9603.28,1.20753,2.11908,1.25237,0.53202,0.60778,0.57866,0.40345,0.97295,2.02361,1.16893,0.00999648,0.00999648,0.00999648
14,10328.6,1.19926,2.1066,1.24934,0.53998,0.60984,0.58476,0.40731,0.95929,2.26699,1.16029,0.00999587,0.00999587,0.00999587
15,11046.7,1.19121,2.07599,1.2432,0.55839,0.60199,0.58932,0.41256,0.9574,1.99583,1.16118,0.00999521,0.00999521,0.00999521
16,11764.9,1.18227,2.0554,1.23723,0.56374,0.62224,0.59588,0.41455,0.94444,2.06337,1.14974,0.0099945,0.0099945,0.0099945
17,12485.4,1.17551,2.03682,1.23436,0.57942,0.60598,0.59798,0.41939,0.93617,1.97037,1.14409,0.00999375,0.00999375,0.00999375
18,13204.7,1.1724,2.03288,1.23247,0.58242,0.61019,0.60708,0.42645,0.92802,2.02335,1.13945,0.00999294,0.00999294,0.00999294
19,13918.8,1.16737,2.01508,1.22958,0.58628,0.63523,0.61922,0.43397,0.92326,1.96819,1.1378,0.00999209,0.00999209,0.00999209
20,14640.1,1.1641,2.00517,1.22533,0.59427,0.6367,0.62668,0.43914,0.91695,1.94526,1.13205,0.00999118,0.00999118,0.00999118
21,15352.3,1.16734,2.0082,1.22534,0.59454,0.64127,0.62531,0.44006,0.90861,1.882,1.1271,0.00999023,0.00999023,0.00999023
22,16076.9,1.15019,1.9688,1.21949,0.58828,0.63292,0.63037,0.4447,0.90677,1.89281,1.12575,0.00998923,0.00998923,0.00998923
23,16796.8,1.15164,1.97169,1.21453,0.58871,0.63694,0.63238,0.4454,0.90509,1.92471,1.12247,0.00998818,0.00998818,0.00998818
24,17514.8,1.15169,1.96251,1.21632,0.58985,0.6476,0.63738,0.44912,0.90152,1.87589,1.11926,0.00998708,0.00998708,0.00998708
25,18234,1.14879,1.95764,1.21617,0.58843,0.65966,0.64331,0.45315,0.89969,1.8526,1.11801,0.00998594,0.00998594,0.00998594
26,18963.2,1.14125,1.93604,1.21103,0.58413,0.66388,0.64244,0.45274,0.89795,1.83418,1.11797,0.00998474,0.00998474,0.00998474
27,19690.2,1.1443,1.93992,1.2135,0.59254,0.65958,0.64219,0.45296,0.89749,1.80742,1.11732,0.0099835,0.0099835,0.0099835
28,20407,1.13544,1.92509,1.20585,0.5964,0.65776,0.6442,0.45472,0.89567,1.77738,1.11578,0.0099822,0.0099822,0.0099822
29,21128.7,1.13501,1.90938,1.20608,0.59773,0.65795,0.64619,0.45621,0.8942,1.76071,1.11465,0.00998086,0.00998086,0.00998086
